hjd,camera,mag,mag_err,flux,flux_err
2458071.62866,bf,12.224,0.02,49.005,0.902
2457942.77009,be,12.29,0.02,46.571,0.857
2458108.64765,be,12.234,0.02,49.002,0.902
2457019.56104,bf,13.069,0.02303,22.515,0.477
2456884.75671,be,12.267,0.02,47.547,0.875
2457695.67273,bf,12.291,0.02,46.073,0.848
2457982.81255,be,12.278,0.02,47.063,0.866
2457288.57116,bf,12.265,0.02,47.198,0.868
2457176.8744,bf,12.295,0.02,45.893,0.844
2458354.63778,be,12.248,0.02,48.391,0.89
2457023.60051,be,12.238,0.02,48.85,0.899
2457399.57895,be,12.266,0.02,47.582,0.876
2457970.70955,be,12.224,0.02,49.45,0.91
2456888.82364,bf,12.253,0.02,47.711,0.878
2456891.75383,bf,12.293,0.02,45.996,0.846
2458108.67511,bf,12.205,0.02,49.879,0.918
2456848.79393,be,12.309,0.02,45.724,0.841
2457910.87326,bf,12.239,0.02,48.357,0.89
2456877.86294,bf,12.257,0.02,47.551,0.875
2457670.54758,bf,12.263,0.02,47.272,0.87
2458153.53897,bf,12.323,0.02,44.757,0.824
2457207.77524,be,12.218,0.02,49.738,0.915
2458046.52481,be,12.227,0.02,49.314,0.907
2457751.59637,be,12.25,0.02,48.296,0.889
2458048.51804,be,12.278,0.02,47.087,0.866
2457273.74812,be,12.628,0.02,34.094,0.627
2456992.60616,bf,12.613,0.02,34.261,0.63
2457015.5594,bf,12.219,0.02,49.245,0.906
2457333.77154,bf,12.309,0.02,45.327,0.834
2457775.58483,bf,12.248,0.02,47.949,0.882
2457687.53546,be,12.28,0.02,46.967,0.864
2457187.8496,bf,12.278,0.02,46.625,0.858
2458334.92155,bf,13.214,0.02229,19.695,0.404
2458375.57147,be,12.372,0.02,43.177,0.794
2457947.87875,be,12.365,0.02,43.442,0.799
2458339.70986,bf,12.273,0.02,46.867,0.862
2458099.67452,be,12.323,0.02,45.162,0.831
2456890.76133,bf,12.246,0.02,48.051,0.884
2457911.86953,bf,12.202,0.02,50.02,0.92
2457914.83558,be,12.256,0.02,48.024,0.884
2457741.56666,bf,12.284,0.02,46.365,0.853
2457313.76098,be,12.256,0.02,48.047,0.884
2457356.73759,bf,12.237,0.02,48.444,0.891
2457792.52894,bf,12.251,0.02,47.817,0.88
2457365.71502,bf,12.426,0.02,40.695,0.749
2458072.62541,bf,12.301,0.02,45.661,0.84
2458019.62086,bf,12.253,0.02,47.742,0.878
2458363.8323,be,12.25,0.02,48.28,0.888
2457322.80693,be,12.744,0.02,30.628,0.564
2458053.54851,bf,13.161,0.02251,20.68,0.428
2457373.68457,bf,12.281,0.02,46.503,0.856
2457874.92491,be,13.191,0.02242,20.296,0.419
2457374.65972,be,12.266,0.02,47.581,0.875
2456960.64951,bf,12.279,0.02,46.6,0.857
2458344.86718,be,12.253,0.02,48.144,0.886
2458350.83905,bf,12.258,0.02,47.484,0.874
2457379.5673,be,12.368,0.02,43.329,0.797
2458032.73678,bf,12.216,0.02,49.371,0.908
2458069.72255,be,13.582,0.02195,14.164,0.286
2457375.6853,bf,12.237,0.02,48.44,0.891
2456876.77455,bf,12.264,0.02,47.256,0.87
2456970.60348,be,12.672,0.02,32.749,0.603
2456856.80583,be,12.298,0.02,46.208,0.85
2457545.88545,bf,12.164,0.02,51.778,0.953
2457258.65525,bf,12.248,0.02,47.947,0.882
2457269.62523,bf,12.196,0.02,50.293,0.925
2457719.65418,bf,12.199,0.02,50.164,0.923
2457970.71296,bf,12.232,0.02,48.642,0.895
2457586.73758,be,12.27,0.02,47.418,0.872
2458371.62423,bf,12.23,0.02,48.748,0.897
2457385.56058,bf,12.298,0.02,45.805,0.843
2456922.70411,bf,12.247,0.02,47.964,0.883
2457765.60751,bf,12.266,0.02,47.135,0.867
2458052.49779,be,12.257,0.02,47.976,0.883
2458118.61769,be,12.643,0.02,33.624,0.619
2457964.69945,be,12.265,0.02,47.623,0.876
2456926.67241,be,12.268,0.02,47.49,0.874
2457958.72027,be,12.377,0.02,42.968,0.791
2458054.56014,bf,12.224,0.02,49.035,0.902
2457753.58489,bf,12.265,0.02,47.213,0.869
2457717.72304,be,12.966,0.02,24.98,0.46
2458385.57127,be,12.262,0.02,47.777,0.879
2458300.81247,bf,12.22,0.02,49.193,0.905
2457720.65994,bf,12.382,0.02,42.373,0.78
2458347.79619,bf,12.277,0.02,46.683,0.859
2457781.55566,bf,12.235,0.02,48.503,0.892
2456920.7059,bf,12.247,0.02,47.983,0.883
2457295.52341,be,13.336,0.02197,17.763,0.359
2458022.60598,bf,12.251,0.02,47.829,0.88
2458097.52342,bf,12.275,0.02,46.772,0.861
2457270.82258,be,12.272,0.02,47.318,0.871
2457674.83548,bf,12.329,0.02,44.493,0.819
2457332.56189,be,12.261,0.02,47.806,0.88
2457143.92322,be,13.206,0.02236,20.02,0.412
2458040.61382,bf,12.267,0.02,47.092,0.866
2456889.76095,bf,12.571,0.02,35.605,0.655
2458055.56825,bf,12.224,0.02,49.029,0.902
2458084.7048,bf,12.192,0.02,50.476,0.929
2457421.54427,bf,12.277,0.02,46.681,0.859
2458347.66298,be,12.252,0.02,48.225,0.887
2458036.55864,be,12.244,0.02,48.567,0.894
2458068.79003,bf,12.237,0.02,48.41,0.891
2457403.59905,bf,12.356,0.02,43.407,0.799
2457681.81142,bf,12.196,0.02,50.297,0.925
2457190.83889,bf,12.256,0.02,47.591,0.876
2457959.7548,be,12.216,0.02,49.81,0.916
2457971.78518,bf,12.291,0.02,46.097,0.848
2457524.90029,be,12.251,0.02,48.263,0.888
2457937.7764,be,12.26,0.02,47.852,0.88
2457265.63214,be,12.331,0.02,44.808,0.824
2457404.60707,bf,12.292,0.02,46.038,0.847
2458069.79041,bf,13.203,0.02233,19.898,0.409
2458013.6766,bf,12.25,0.02,47.872,0.881
2457336.68615,bf,12.291,0.02,46.094,0.848
2457385.61485,be,12.263,0.02,47.716,0.878
2458047.52465,be,12.272,0.02,47.316,0.871
2456993.61273,be,12.213,0.02,49.964,0.919
2457419.54892,bf,12.283,0.02,46.4,0.854
2457952.89916,be,12.269,0.02,47.451,0.873
2457660.65855,bf,12.279,0.02,46.574,0.857
2457363.72181,bf,12.314,0.02,45.108,0.83
2457763.61605,bf,12.337,0.02,44.169,0.813
2457982.67725,bf,12.306,0.02,45.432,0.836
2457996.64279,bf,12.365,0.02,43.061,0.792
2458008.61091,bf,12.219,0.02,49.217,0.906
2458320.75242,be,12.241,0.02,48.68,0.896
2456891.74502,be,12.272,0.02,47.314,0.871
2456984.6087,bf,12.301,0.02,45.644,0.84
2457383.60279,be,12.233,0.02,49.04,0.902
2457727.6753,be,12.257,0.02,47.987,0.883
2457317.81774,bf,12.207,0.02,49.797,0.916
2456792.89613,be,12.253,0.02,48.148,0.886
2458047.53264,bf,12.278,0.02,46.642,0.858
2457364.71866,bf,12.22,0.02,49.179,0.905
2458048.52986,bf,12.282,0.02,46.459,0.855
2458041.69905,be,12.216,0.02,49.838,0.917
2457569.90515,be,12.249,0.02,48.336,0.889
2456971.61005,bf,12.274,0.02,46.828,0.862
2458313.81343,be,12.274,0.02,47.26,0.87
2456904.71371,be,12.236,0.02,48.917,0.9
2456791.90622,bf,12.468,0.02,39.146,0.72
2458363.82823,bf,12.218,0.02,49.271,0.907
2457248.6795,bf,12.221,0.02,49.142,0.904
2457405.56239,be,12.241,0.02,48.687,0.896
2456889.73761,be,12.669,0.02,32.823,0.604
2457041.54868,be,12.265,0.02,47.632,0.876
2457389.64315,bf,12.239,0.02,48.345,0.89
2457306.63596,bf,12.483,0.02,38.628,0.711
2458034.74147,be,12.378,0.02,42.908,0.79
2457664.60444,bf,12.26,0.02,47.423,0.873
2457698.53211,be,12.285,0.02,46.769,0.861
2458107.59324,be,13.583,0.02195,14.146,0.286
2458070.6374,be,12.248,0.02,48.406,0.891
2457668.55451,be,12.253,0.02,48.159,0.886
2457389.54881,be,12.246,0.02,48.464,0.892
2457322.76527,bf,12.988,0.02,24.252,0.446
2458159.52358,bf,12.265,0.02,47.188,0.868
2458320.85348,bf,12.265,0.02,47.185,0.868
2456907.90356,be,12.277,0.02,47.097,0.867
2457707.6143,bf,12.314,0.02,45.117,0.83
2458054.49808,be,12.247,0.02,48.431,0.891
2458082.71074,be,12.274,0.02,47.26,0.87
2457276.81787,be,12.328,0.02,44.967,0.827
2457325.79811,be,12.279,0.02,47.028,0.865
2458070.78705,bf,12.196,0.02,50.273,0.925
2456855.81778,bf,12.237,0.02,48.445,0.891
2457418.55361,bf,12.22,0.02,49.197,0.905
2457916.88909,be,12.239,0.02,48.782,0.898
2457233.69174,be,12.287,0.02,46.662,0.859
2457576.7783,be,12.295,0.02,46.354,0.853
2457914.8621,bf,12.277,0.02,46.68,0.859
2458052.51059,bf,12.263,0.02,47.29,0.87
2457916.85427,bf,12.239,0.02,48.319,0.889
2457377.64867,be,12.243,0.02,48.592,0.894
2457334.51601,be,12.243,0.02,48.588,0.894
2457276.66374,bf,12.328,0.02,44.533,0.819
2457395.59623,bf,12.33,0.02,44.463,0.818
2458371.91708,be,12.24,0.02,48.762,0.897
2457287.62034,be,12.346,0.02,44.208,0.813
2457415.56093,bf,12.27,0.02,46.995,0.865
2457283.85671,bf,12.252,0.02,47.745,0.879
2457162.91117,bf,12.392,0.02,41.998,0.773
2457156.91162,bf,12.311,0.02,45.228,0.832
2457983.89534,be,12.265,0.02,47.641,0.877
2457340.78379,bf,12.198,0.02,50.224,0.924
2456805.8971,bf,12.288,0.02,46.216,0.85
2457363.69154,be,12.295,0.02,46.322,0.852
2456943.66782,bf,13.278,0.02208,18.557,0.377
2457683.61213,be,12.241,0.02,48.713,0.896
2457567.85831,bf,12.267,0.02,47.096,0.867
2457371.68783,bf,12.263,0.02,47.267,0.87
2458120.58789,be,12.277,0.02,47.119,0.867
2458376.59896,bf,12.223,0.02,49.068,0.903
2457747.61886,be,12.395,0.02,42.275,0.778
2457010.57126,bf,12.264,0.02,47.258,0.87
2456943.8445,be,12.813,0.02,28.748,0.529
2457772.53109,bf,12.291,0.02,46.063,0.848
2456921.7022,bf,12.294,0.02,45.973,0.846
2456872.73087,bf,12.291,0.02,46.083,0.848
2457286.85983,bf,12.214,0.02,49.451,0.91
2457348.71678,be,12.253,0.02,48.166,0.886
2457203.80076,bf,12.402,0.02,41.613,0.766
2457783.55425,bf,12.224,0.02,49.007,0.902
2456856.82399,bf,12.333,0.02,44.35,0.816
2458161.51828,bf,12.375,0.02,42.643,0.785
2457589.90427,be,12.257,0.02,48.0,0.883
2456850.77088,bf,12.266,0.02,47.164,0.868
2457724.63523,bf,12.251,0.02,47.801,0.88
2457370.70277,bf,12.256,0.02,47.57,0.875
2457340.73394,be,12.259,0.02,47.908,0.882
2457410.54512,be,12.224,0.02,49.488,0.911
2458053.49761,be,13.434,0.02185,16.231,0.326
2456828.85748,bf,12.233,0.02,48.615,0.895
2457293.83488,be,12.261,0.02,47.823,0.88
2458373.6246,bf,12.265,0.02,47.176,0.868
2456892.75183,bf,12.294,0.02,45.939,0.845
2457760.58025,be,12.289,0.02,46.594,0.857
2457555.81839,be,12.279,0.02,47.03,0.865
2457690.66926,be,13.06,0.02316,22.906,0.488
