hjd,camera,mag,mag_err,flux,flux_err
2458060.88266,bd,11.543,0.02,92.595,1.704
2458053.7283,bd,11.584,0.02,89.156,1.64
2457639.05328,bc,11.573,0.02,90.573,1.667
2457198.02548,bc,11.674,0.02,82.542,1.519
2457399.72543,bd,10.919,0.02,164.541,3.028
2458055.74014,bd,11.359,0.02,109.756,2.02
2457911.07212,bc,11.158,0.02,132.75,2.443
2457356.69868,bd,11.154,0.02,132.515,2.438
2457906.06646,bc,10.924,0.02,164.675,3.03
2457553.06973,bd,11.124,0.02,136.227,2.507
2457215.96587,bc,11.179,0.02,130.184,2.395
2458062.92381,bd,11.031,0.02,148.413,2.731
2458014.90623,bc,11.062,0.02,145.046,2.669
2457990.06971,bd,11.291,0.02,116.858,2.15
2457156.12101,bc,11.327,0.02,113.623,2.091
2457904.11095,bd,11.643,0.02,84.441,1.554
2457984.06536,bc,11.4,0.02,106.264,1.955
2457573.99784,bc,11.032,0.02,149.168,2.745
2457198.07297,bd,11.589,0.02,88.764,1.633
2457238.03322,bd,10.883,0.02,170.046,3.129
2457746.74921,bc,11.586,0.02,89.557,1.648
2457596.06672,bd,10.912,0.02,165.665,3.048
2457239.98528,bc,11.586,0.02,89.487,1.647
2457680.95681,bd,11.517,0.02,94.85,1.745
2457319.70194,bd,11.695,0.02,80.496,1.481
2457288.91009,bc,11.718,0.02,79.3,1.459
2457975.98201,bc,10.959,0.02,159.543,2.936
2457545.07605,bd,11.352,0.02,110.426,2.032
2457344.73283,bd,11.478,0.02,98.362,1.81
2457185.08688,bc,11.598,0.02,88.522,1.629
2458049.96612,bd,10.931,0.02,162.789,2.995
2458070.91079,bd,11.698,0.02,80.3,1.478
2457522.10972,bc,11.001,0.02,153.406,2.823
2458022.88669,bc,11.713,0.02,79.633,1.465
2457388.72908,bd,11.577,0.02,89.752,1.651
2457248.02507,bd,11.308,0.02,114.967,2.115
2457314.80323,bd,11.644,0.02,84.427,1.553
2457915.0852,bd,11.006,0.02,151.867,2.794
2457616.90311,bd,11.696,0.02,80.47,1.481
2457998.84712,bd,11.302,0.02,115.676,2.128
2457320.85834,bc,10.968,0.02,158.104,2.909
2457041.70395,bd,10.935,0.02,162.189,2.984
2457631.04654,bd,10.918,0.02,164.729,3.031
2458063.91953,bd,11.171,0.02,130.489,2.401
2457574.02373,bd,11.0,0.02,152.727,2.81
2457704.87232,bc,11.15,0.02,133.788,2.462
2457021.74327,bd,11.498,0.02,96.509,1.776
2458033.71406,bc,11.302,0.02,116.299,2.14
2458004.9406,bc,11.681,0.02,82.019,1.509
2457946.03905,bd,11.141,0.02,134.133,2.468
2457593.01073,bc,11.353,0.02,110.954,2.042
2457227.92823,bc,11.77,0.02,75.576,1.391
2458067.76151,bc,10.96,0.02,159.301,2.931
2457530.11607,bd,11.37,0.02,108.614,1.998
2457039.72038,bd,11.621,0.02,86.24,1.587
2457669.82087,bd,11.305,0.02,115.329,2.122
2457693.84807,bc,11.488,0.02,97.937,1.802
2458336.08723,bd,11.585,0.02,89.099,1.639
2457203.01047,bc,11.008,0.02,152.487,2.806
2457946.00952,bc,11.22,0.02,125.454,2.308
2457619.0729,bc,11.331,0.02,113.169,2.082
2457009.7748,bd,11.701,0.02,80.048,1.473
2458408.8181,bd,11.184,0.02,128.941,2.373
2457980.08279,bc,11.048,0.02,146.885,2.703
2457011.77069,bd,11.125,0.02,136.074,2.504
2457672.8998,bc,11.66,0.02,83.656,1.539
2458347.94014,bd,11.221,0.02,124.566,2.292
2457550.06931,bc,11.542,0.02,93.189,1.715
2457256.0295,bd,11.047,0.02,146.209,2.69
2457342.8265,bc,10.935,0.02,162.982,2.999
2457660.97481,bd,11.453,0.02,100.599,1.851
2457536.11837,bd,11.295,0.02,116.37,2.141
2457317.88522,bd,11.308,0.02,115.022,2.116
2457587.04961,bd,11.065,0.02,143.857,2.647
2457012.77763,bd,11.437,0.02,102.104,1.879
2457701.72736,bd,11.227,0.02,123.923,2.28
2457231.95687,bd,11.629,0.02,85.601,1.575
2458025.98648,bd,11.564,0.02,90.842,1.671
2458022.00829,bd,11.638,0.02,84.888,1.562
2457298.77756,bc,11.279,0.02,118.769,2.185
2457652.89645,bd,10.932,0.02,162.57,2.991
2457277.97128,bc,11.099,0.02,140.169,2.579
2457539.10738,bc,10.983,0.02,156.044,2.871
2457213.0614,bd,11.292,0.02,116.666,2.147
2458075.86008,bc,11.237,0.02,123.437,2.271
2457579.04691,bd,11.022,0.02,149.701,2.754
2457669.88618,bc,11.22,0.02,125.457,2.308
2457709.82993,bc,11.015,0.02,151.514,2.788
2457696.95255,bd,11.07,0.02,143.132,2.634
2457405.71721,bd,11.453,0.02,100.607,1.851
2457327.74437,bc,11.624,0.02,86.422,1.59
2457670.91657,bd,11.121,0.02,136.652,2.514
2457329.94111,bd,10.944,0.02,160.78,2.958
2457980.05164,bd,10.965,0.02,157.668,2.901
2457767.71888,bd,11.371,0.02,108.493,1.996
2457939.01229,bd,11.608,0.02,87.225,1.605
2457275.87579,bd,11.667,0.02,82.604,1.52
2457309.85137,bc,11.516,0.02,95.507,1.757
2457169.09417,bc,11.255,0.02,121.433,2.234
2457906.10778,bd,10.929,0.02,163.059,3.0
2457247.01744,bc,11.048,0.02,146.872,2.702
2457388.72483,bc,11.583,0.02,89.747,1.651
2457008.75365,bc,11.608,0.02,87.763,1.615
2457744.75216,bc,10.972,0.02,157.577,2.899
2457194.02788,bc,11.285,0.02,118.065,2.172
2457690.91452,bc,11.772,0.02,75.458,1.388
2457694.93983,bd,11.676,0.02,81.912,1.507
2457212.10128,bc,10.991,0.02,154.901,2.85
2457762.70122,bc,11.176,0.02,130.621,2.403
2458076.85673,bc,11.11,0.02,138.78,2.554
2457181.09545,bc,11.146,0.02,134.295,2.471
2457939.97505,bc,11.712,0.02,79.718,1.467
2457009.7484,bc,11.771,0.02,75.519,1.39
2457941.00945,bd,10.921,0.02,164.291,3.023
2457970.96454,bd,11.386,0.02,107.006,1.969
2457628.01076,bc,11.374,0.02,108.841,2.003
2458091.81039,bc,11.631,0.02,85.888,1.58
2457304.95439,bc,11.377,0.02,108.504,1.996
2457365.79861,bd,11.283,0.02,117.641,2.165
2457046.70882,bd,11.129,0.02,135.617,2.495
2457912.06465,bc,11.46,0.02,100.576,1.851
2457048.7064,bd,11.652,0.02,83.751,1.541
2457223.00958,bd,11.615,0.02,86.668,1.595
2457151.12089,bc,11.05,0.02,146.67,2.699
2457263.06351,bd,11.719,0.02,78.795,1.45
2458019.01794,bc,11.379,0.02,108.327,1.993
2457531.09311,bc,11.089,0.02,141.514,2.604
2458325.95497,bd,11.191,0.02,128.041,2.356
2457904.0851,bc,11.67,0.02,82.839,1.524
2457370.81885,bd,11.463,0.02,99.681,1.834
2458377.8128,bd,11.032,0.02,148.285,2.728
2457996.97818,bd,11.599,0.02,88.001,1.619
2457697.89312,bc,11.391,0.02,107.086,1.97
2458026.83885,bc,11.707,0.02,80.105,1.474
2458024.90011,bd,11.257,0.02,120.544,2.218
2457274.97314,bc,11.523,0.02,94.885,1.746
2457270.98746,bc,11.624,0.02,86.476,1.591
2457384.708,bc,11.631,0.02,85.897,1.58
2457625.96242,bd,11.544,0.02,92.519,1.702
2457616.87131,bc,11.708,0.02,80.012,1.472
2457735.82481,bd,10.914,0.02,165.371,3.043
2458262.11279,bd,11.641,0.02,84.596,1.557
2457532.11303,bd,11.404,0.02,105.228,1.936
