hjd,camera,mag,mag_err,flux,flux_err
2457086.53804,be,12.476,0.02,39.217,0.722
2458375.78752,be,11.525,0.02,94.133,1.732
2458046.68603,be,11.452,0.02,100.68,1.853
2457735.71421,be,11.461,0.02,99.843,1.837
2457658.8443,be,12.008,0.02,60.332,1.11
2456682.83139,ba,11.455,0.02,101.93,1.876
2457219.93115,be,11.443,0.02,101.603,1.87
2457585.92111,be,11.516,0.02,94.979,1.748
2457420.72371,ba,11.46,0.02,101.486,1.867
2458088.75556,be,11.487,0.02,97.503,1.794
2457364.78434,be,12.269,0.02,47.453,0.873
2457424.66823,be,11.455,0.02,100.44,1.848
2456982.90719,ba,11.454,0.02,102.047,1.878
2458020.77291,be,11.454,0.02,100.533,1.85
2457018.88835,ba,11.824,0.02,72.539,1.335
2457758.87214,ba,11.455,0.02,101.973,1.876
2457003.90939,ba,11.504,0.02,97.459,1.793
2457468.53006,be,11.527,0.02,93.967,1.729
2457293.73496,be,11.56,0.02,91.219,1.678
2456992.81336,ba,11.454,0.02,102.023,1.877
2458011.76811,be,11.505,0.02,95.911,1.765
2457756.90912,ba,11.461,0.02,101.33,1.864
2458002.0622,ba,11.501,0.02,97.739,1.798
2458079.72794,be,11.613,0.02,86.834,1.598
2457000.91277,ba,11.482,0.02,99.446,1.83
2457397.70419,ba,11.48,0.02,99.656,1.834
2457327.79697,be,11.452,0.02,100.68,1.853
2457440.71831,ba,11.512,0.02,96.68,1.779
2457031.79972,ba,11.742,0.02,78.28,1.44
2457975.11711,ba,11.436,0.02,103.778,1.91
2457370.82115,be,11.503,0.02,96.139,1.769
2457246.13258,ba,11.447,0.02,102.722,1.89
2457744.94272,ba,11.456,0.02,101.797,1.873
2457816.58778,be,11.454,0.02,100.559,1.85
2456557.04061,ba,11.468,0.02,100.678,1.852
2458015.83713,be,11.442,0.02,101.695,1.871
2456971.96816,ba,11.459,0.02,101.524,1.868
2456981.94891,ba,11.462,0.02,101.27,1.863
2457752.75736,be,11.585,0.02,89.127,1.64
2458205.51513,be,11.547,0.02,92.316,1.699
2457966.88684,be,11.863,0.02,68.974,1.269
2458354.8318,be,11.456,0.02,100.353,1.846
2457269.79349,be,11.524,0.02,94.268,1.735
2457297.78909,be,11.471,0.02,98.943,1.821
2456936.01999,ba,11.543,0.02,93.997,1.73
2458008.79899,be,11.485,0.02,97.741,1.798
2456984.93114,ba,11.459,0.02,101.555,1.869
2458328.90023,be,11.472,0.02,98.908,1.82
2457428.584,be,11.445,0.02,101.327,1.864
2457807.75452,ba,11.472,0.02,100.363,1.847
2458039.81856,be,11.447,0.02,101.171,1.862
2457794.6168,be,11.468,0.02,99.275,1.827
2457053.59407,be,11.493,0.02,96.962,1.784
2457340.74844,be,11.474,0.02,98.675,1.816
2458003.05365,ba,11.424,0.02,104.859,1.929
2458360.82653,be,11.47,0.02,99.103,1.824
2457766.63954,be,11.491,0.02,97.166,1.788
2457396.75109,be,11.48,0.02,98.153,1.806
2457380.65129,be,13.03,0.02337,23.551,0.506
2457360.90414,ba,11.488,0.02,98.882,1.819
2457046.83513,ba,11.686,0.02,82.389,1.516
2457234.87893,be,11.443,0.02,101.546,1.868
2456898.07463,ba,11.477,0.02,99.899,1.838
2457043.83776,ba,11.896,0.02,67.903,1.249
2457819.58785,be,11.45,0.02,100.946,1.857
2457390.72768,be,11.472,0.02,98.878,1.819
2457089.57148,be,11.62,0.02,86.267,1.587
