hjd,camera,mag,mag_err,flux,flux_err
2458059.86332,bd,13.201,0.02238,20.118,0.414
2457407.77145,bd,13.308,0.02203,18.222,0.369
2457708.73655,bc,14.701,0.03183,5.42,0.159
2457949.07629,bc,13.134,0.02317,22.941,0.489
2457701.78763,bd,13.141,0.02266,21.251,0.443
2457929.08053,bd,13.165,0.02254,20.801,0.431
2458017.99392,bc,13.158,0.02301,22.452,0.475
2457995.91863,bd,13.192,0.02242,20.286,0.418
2457021.70536,bc,13.145,0.02309,22.706,0.482
2457997.89449,bc,13.167,0.02295,22.251,0.47
2458036.89165,bc,13.142,0.02311,22.773,0.484
2457762.70613,bd,13.223,0.02229,19.718,0.404
2457602.94234,bc,13.157,0.02302,22.468,0.476
2457071.72598,bd,13.172,0.02251,20.65,0.428
2457911.06446,bc,13.161,0.02299,22.377,0.473
2457689.95664,bd,13.235,0.02225,19.494,0.399
2457378.8166,bd,13.223,0.02229,19.707,0.404
2457618.99174,bd,13.143,0.02265,21.227,0.442
2457943.00539,bc,13.162,0.02298,22.354,0.473
2457677.73849,bc,13.148,0.02307,22.648,0.481
2457403.79255,bd,13.202,0.02237,20.096,0.414
2458067.70677,bc,13.528,0.02185,15.956,0.321
2457274.95218,bd,13.183,0.02246,20.446,0.422
2457011.78849,bd,13.153,0.0226,21.031,0.437
2458075.96755,bd,13.149,0.02262,21.099,0.439
2457202.01301,bc,13.254,0.02248,20.554,0.425
2458077.90157,bc,13.164,0.02297,22.33,0.472
2457328.95382,bc,13.157,0.02302,22.461,0.476
2458071.9819,bd,13.163,0.02255,20.829,0.432
2457974.97717,bd,13.181,0.02247,20.495,0.424
2457763.74462,bc,13.185,0.02284,21.9,0.46
2457242.01035,bd,15.014,0.04065,3.788,0.142
2458082.74773,bc,13.688,0.02201,13.775,0.279
2457342.91309,bd,13.174,0.0225,20.619,0.427
2457047.72328,bd,13.187,0.02244,20.377,0.421
2457766.72695,bd,13.174,0.0225,20.618,0.427
2457696.86156,bc,13.119,0.02328,23.257,0.498
2457707.72936,bd,13.17,0.02252,20.703,0.429
2457399.80623,bd,13.173,0.0225,20.642,0.427
2457927.08065,bc,15.016,0.0387,4.056,0.144
2457673.78653,bd,13.193,0.02241,20.263,0.418
2457385.85778,bd,13.137,0.02268,21.334,0.445
2457521.1216,bc,13.154,0.02303,22.536,0.478
2457975.98454,bc,13.231,0.02259,20.976,0.436
2457211.05199,bd,13.173,0.0225,20.647,0.427
2457048.73192,bd,14.306,0.02696,7.269,0.18
2458033.97275,bc,13.129,0.0232,23.046,0.492
2457305.87173,bc,13.176,0.0229,22.071,0.465
2457912.0609,bc,14.539,0.02912,6.29,0.169
2457585.95852,bc,13.252,0.02249,20.583,0.426
2457627.97506,bd,13.151,0.02261,21.059,0.438
2458117.78232,bd,14.988,0.03995,3.88,0.143
2457037.72058,bd,13.189,0.02243,20.335,0.42
2457704.84069,bc,13.199,0.02276,21.604,0.452
2457657.91103,bc,13.114,0.02331,23.363,0.501
2457297.86406,bd,13.143,0.02265,21.221,0.442
2458067.99401,bd,13.26,0.02216,19.054,0.388
2457185.11738,bd,13.181,0.02247,20.489,0.423
2457411.775,bd,13.139,0.02267,21.287,0.444
2457983.0811,bd,13.158,0.02257,20.927,0.435
2457327.92007,bd,13.159,0.02257,20.91,0.434
2458063.71141,bc,13.191,0.02281,21.772,0.457
2457372.825,bd,13.163,0.02255,20.833,0.432
2457961.10363,bd,13.183,0.02246,20.445,0.422
2457298.85788,bc,13.116,0.0233,23.335,0.5
2457333.88032,bc,13.148,0.02307,22.644,0.481
2457604.0402,bd,13.14,0.02267,21.274,0.444
2457404.71246,bc,13.141,0.02312,22.792,0.485
2457246.89962,bc,13.265,0.02243,20.344,0.42
2457210.09693,bc,13.154,0.02303,22.534,0.478
2457622.01244,bd,13.189,0.02243,20.33,0.42
2458110.73496,bd,13.168,0.02253,20.73,0.43
2457767.70393,bc,13.22,0.02265,21.194,0.442
2458078.90163,bc,13.271,0.0224,20.218,0.417
2457395.81971,bd,13.149,0.02262,21.108,0.439
2457939.98607,bc,13.182,0.02286,21.951,0.462
2457737.74345,bd,13.188,0.02243,20.358,0.42
2457747.8039,bc,13.205,0.02273,21.485,0.449
2457045.72937,bd,13.191,0.02242,20.308,0.419
2457275.8968,bd,13.232,0.02226,19.554,0.4
2457358.86407,bd,13.172,0.02251,20.666,0.428
2457913.10815,bd,13.164,0.02255,20.814,0.432
2458159.72935,bd,13.163,0.02255,20.839,0.432
2457042.71074,bc,13.14,0.02313,22.819,0.486
2457054.72713,bd,13.149,0.02262,21.109,0.439
2457395.75463,bc,13.131,0.02319,23.017,0.491
2457238.00888,bd,13.138,0.02268,21.319,0.445
2457303.92319,bc,13.152,0.02305,22.574,0.479
2457386.80911,bd,13.148,0.02263,21.12,0.44
