hjd,camera,mag,mag_err,flux,flux_err
2457792.71292,bg,12.321,0.02,45.244,0.832
2458171.65699,bg,12.595,0.02,35.137,0.647
2458075.71833,bg,12.35,0.02,44.064,0.811
2457709.83915,bg,12.081,0.02,56.424,1.038
2457799.55854,bg,11.835,0.02,70.775,1.302
2458176.70224,bg,11.57,0.02,90.38,1.663
2457843.64423,bg,11.989,0.02,61.419,1.13
2457835.59553,bg,12.609,0.02,34.713,0.639
2457689.79872,bg,12.328,0.02,44.954,0.827
2457913.44742,bg,12.28,0.02,46.96,0.864
2458168.55926,bg,12.182,0.02,51.396,0.946
2458216.63698,bg,11.946,0.02,63.898,1.176
2458356.91164,bg,12.195,0.02,50.786,0.934
2458208.66632,bg,12.155,0.02,52.721,0.97
2458198.68955,bg,12.561,0.02,36.274,0.667
2458125.66941,bg,11.942,0.02,64.153,1.18
2457834.66407,bg,12.531,0.02,37.291,0.686
2457458.71135,bg,12.616,0.02,34.473,0.634
2457798.68298,bg,12.282,0.02,46.901,0.863
2457429.71122,bg,12.353,0.02,43.929,0.808
2458101.78742,bg,12.268,0.02,47.511,0.874
2457825.52551,bg,12.267,0.02,47.524,0.874
2458243.54333,bg,11.96,0.02,63.088,1.161
2457486.63262,bg,12.569,0.02,36.005,0.662
2458018.86805,bg,12.013,0.02,60.089,1.106
2457804.76606,bg,12.148,0.02,53.034,0.976
2458043.78687,bg,11.806,0.02,72.691,1.338
2458068.81474,bg,11.731,0.02,77.897,1.433
2457876.49425,bg,12.538,0.02,37.051,0.682
2457713.80841,bg,12.545,0.02,36.819,0.677
2457895.50007,bg,11.769,0.02,75.193,1.384
2458233.57827,bg,12.005,0.02,60.53,1.114
2457690.79543,bg,12.255,0.02,48.069,0.884
2458200.68376,bg,12.45,0.02,40.164,0.739
2458185.66065,bg,12.604,0.02,34.85,0.641
2457795.76451,bg,12.579,0.02,35.684,0.657
2457780.61085,bg,12.524,0.02,37.531,0.691
2457722.76543,bg,12.052,0.02,57.958,1.066
2458214.64286,bg,12.35,0.02,44.061,0.811
2457449.7332,bg,11.728,0.02,78.076,1.437
2457729.72439,bg,12.427,0.02,41.035,0.755
2458136.64191,bg,11.466,0.02,99.435,1.83
2457774.68778,bg,11.826,0.02,71.344,1.313
2457851.63247,bg,12.292,0.02,46.469,0.855
2457725.79737,bg,12.38,0.02,42.842,0.788
2457445.74451,bg,12.601,0.02,34.954,0.643
2457870.54801,bg,12.001,0.02,60.757,1.118
2458360.90152,bg,12.59,0.02,35.312,0.65
2457698.78151,bg,12.338,0.02,44.526,0.819
2457790.66153,bg,12.068,0.02,57.129,1.051
2458182.55956,bg,12.265,0.02,47.627,0.876
2458000.8919,bg,12.18,0.02,51.516,0.948
2458143.65986,bg,12.444,0.02,40.388,0.743
2458019.88008,bg,12.129,0.02,54.009,0.994
2458038.86022,bg,12.473,0.02,39.315,0.723
2457423.65529,bg,11.559,0.02,91.284,1.68
2458159.79089,bg,12.52,0.02,37.68,0.693
2458146.80211,bg,12.457,0.02,39.904,0.734
2458189.71573,bg,11.93,0.02,64.844,1.193
2457771.62061,bg,12.251,0.02,48.272,0.888
2458205.66334,bg,11.858,0.02,69.288,1.275
2457879.4763,bg,12.252,0.02,48.205,0.887
2458085.67248,bg,11.97,0.02,62.503,1.15
2457873.48456,bg,12.32,0.02,45.28,0.833
2457796.64675,bg,12.489,0.02,38.76,0.713
2458082.79135,bg,11.439,0.02,101.906,1.875
2457848.64403,bg,12.555,0.02,36.481,0.671
2457657.87384,bg,12.294,0.02,46.364,0.853
2457857.53132,bg,12.036,0.02,58.835,1.083
2458070.80163,bg,11.802,0.02,72.997,1.343
2457803.76668,bg,12.018,0.02,59.827,1.101
2458072.70813,bg,11.997,0.02,60.946,1.121
2457894.51447,bg,11.475,0.02,98.608,1.814
2458163.58637,bg,11.465,0.02,99.538,1.832
2458152.65807,bg,11.948,0.02,63.792,1.174
2458048.81441,bg,12.352,0.02,43.948,0.809
