hjd,camera,mag,mag_err,flux,flux_err
2457448.74892,bd,11.971,0.02,64.794,1.192
2457763.79232,bc,12.316,0.02,45.438,0.836
2457694.88717,bd,12.041,0.02,60.756,1.118
2457329.03907,bd,12.206,0.02,52.166,0.96
2457806.73603,bc,12.469,0.02,39.465,0.726
2458067.03386,bd,12.456,0.02,41.456,0.763
2457241.11336,bc,12.456,0.02,39.938,0.735
2457661.02371,bc,12.023,0.02,59.544,1.096
2458416.93993,bc,12.193,0.02,50.898,0.937
2457982.08231,bd,12.049,0.02,60.324,1.11
2457678.96146,bd,12.071,0.02,59.107,1.088
2457419.83737,bd,12.294,0.02,48.119,0.885
2457078.76326,bd,12.509,0.02,39.467,0.726
2457807.73057,bc,12.238,0.02,48.816,0.898
2457423.79012,bc,12.009,0.02,60.308,1.11
2458072.05549,bd,12.04,0.02,60.794,1.119
2457607.08324,bd,12.204,0.02,52.26,0.962
2457265.02666,bc,12.345,0.02,44.269,0.815
2457678.93495,bc,12.024,0.02,59.487,1.095
2458033.04313,bd,12.255,0.02,49.9,0.918
2457444.75969,bd,12.356,0.02,45.451,0.836
2457674.06615,bc,12.369,0.02,43.268,0.796
2457711.97551,bd,12.055,0.02,59.961,1.103
2457244.09432,bd,11.986,0.02,63.898,1.176
2457700.977,bc,12.301,0.02,46.095,0.848
2457766.7818,bc,12.207,0.02,50.251,0.925
2457077.73037,bc,12.478,0.02,39.136,0.72
2457977.06995,bd,12.439,0.02,42.103,0.775
2457395.84825,bd,12.372,0.02,44.8,0.824
2457222.10033,bc,12.04,0.02,58.613,1.078
2457290.97264,bc,12.487,0.02,38.837,0.715
2457366.82123,bd,11.987,0.02,63.857,1.175
2457008.86197,bc,11.984,0.02,61.711,1.135
2457263.05377,bd,12.092,0.02,57.964,1.067
2457698.0385,bc,12.263,0.02,47.717,0.878
2457650.98735,bd,12.552,0.02,37.929,0.698
2457321.83151,bc,12.304,0.02,45.966,0.846
2457418.78353,bc,12.133,0.02,53.794,0.99
2457309.99719,bc,11.893,0.02,67.123,1.235
2457271.1189,bd,12.048,0.02,60.357,1.111
2457398.86446,bd,12.198,0.02,52.546,0.967
2457965.09688,bd,12.069,0.02,59.177,1.089
2457428.80177,bd,12.442,0.02,42.004,0.773
2458377.93572,bc,12.458,0.02,39.877,0.734
2457762.75031,bd,12.217,0.02,51.645,0.95
2458445.97883,bc,12.128,0.02,54.057,0.995
